series,estimated_min,step,probe_loss,mean_step_s
LOZO full nu50,49.829750,3700,0.4755,0.80805
LOZO full nu50,49.964425,3710,0.4695,0.80805
LOZO full nu50,50.099100,3720,0.4538,0.80805
LOZO full nu50,50.233775,3730,0.4512,0.80805
LOZO full nu50,50.368450,3740,0.4954,0.80805
LOZO full nu50,50.503125,3750,0.4744,0.80805
LOZO full nu50,50.637800,3760,0.4036,0.80805
LOZO full nu50,50.772475,3770,0.4163,0.80805
LOZO full nu50,50.907150,3780,0.4148,0.80805
LOZO full nu50,51.041825,3790,0.4272,0.80805
LOZO full nu50,51.176500,3800,0.3538,0.80805
LOZO full nu50,51.311175,3810,0.4113,0.80805
LOZO full nu50,51.445850,3820,0.4659,0.80805
LOZO full nu50,51.580525,3830,0.4619,0.80805
LOZO full nu50,51.715200,3840,0.4158,0.80805
LOZO full nu50,51.849875,3850,0.4171,0.80805
LOZO full nu50,51.984550,3860,0.4708,0.80805
LOZO full nu50,52.119225,3870,0.4177,0.80805
LOZO full nu50,52.253900,3880,0.441,0.80805
LOZO full nu50,52.388575,3890,0.5251,0.80805
LOZO full nu50,52.523250,3900,0.4767,0.80805
LOZO full nu50,52.657925,3910,0.4269,0.80805
LOZO full nu50,52.792600,3920,0.4855,0.80805
LOZO full nu50,52.927275,3930,0.4516,0.80805
LOZO full nu50,53.061950,3940,0.4273,0.80805
LOZO full nu50,53.196625,3950,0.5138,0.80805
LOZO full nu50,53.331300,3960,0.4453,0.80805
LOZO full nu50,53.465975,3970,0.3732,0.80805
LOZO full nu50,53.600650,3980,0.3915,0.80805
LOZO full nu50,53.735325,3990,0.3561,0.80805
LOZO full nu50,53.870000,4000,0.4021,0.80805
LOZO full nu50,54.004675,4010,0.4348,0.80805
LOZO full nu50,54.139350,4020,0.513,0.80805
LOZO full nu50,54.274025,4030,0.4374,0.80805
LOZO full nu50,54.408700,4040,0.4509,0.80805
LOZO full nu50,54.543375,4050,0.4029,0.80805
LOZO full nu50,54.678050,4060,0.4619,0.80805
LOZO full nu50,54.812725,4070,0.4612,0.80805
LOZO full nu50,54.947400,4080,0.3738,0.80805
LOZO full nu50,55.082075,4090,0.3869,0.80805
LOZO full nu50,55.216750,4100,0.4628,0.80805
LOZO full nu50,55.351425,4110,0.491,0.80805
LOZO full nu50,55.486100,4120,0.3433,0.80805
LOZO full nu50,55.620775,4130,0.4516,0.80805
LOZO full nu50,55.755450,4140,0.4959,0.80805
LOZO full nu50,55.890125,4150,0.4318,0.80805
LOZO full nu50,56.024800,4160,0.4323,0.80805
LOZO full nu50,56.159475,4170,0.4022,0.80805
LOZO full nu50,56.294150,4180,0.4338,0.80805
LOZO full nu50,56.428825,4190,0.4435,0.80805
LOZO full nu50,56.563500,4200,0.4642,0.80805
LOZO full nu50,56.698175,4210,0.4638,0.80805
LOZO full nu50,56.832850,4220,0.3806,0.80805
LOZO full nu50,56.967525,4230,0.4722,0.80805
LOZO full nu50,57.102200,4240,0.4559,0.80805
LOZO full nu50,57.236875,4250,0.436,0.80805
LOZO full nu50,57.371550,4260,0.4244,0.80805
LOZO full nu50,57.506225,4270,0.4653,0.80805
LOZO full nu50,57.640900,4280,0.4447,0.80805
LOZO full nu50,57.775575,4290,0.4535,0.80805
LOZO full nu50,57.910250,4300,0.4715,0.80805
LOZO full nu50,58.044925,4310,0.4809,0.80805
LOZO full nu50,58.179600,4320,0.3998,0.80805
LOZO full nu50,58.314275,4330,0.4239,0.80805
LOZO full nu50,58.448950,4340,0.3959,0.80805
LOZO full nu50,58.583625,4350,0.4088,0.80805
LOZO full nu50,58.718300,4360,0.4507,0.80805
LOZO full nu50,58.852975,4370,0.384,0.80805
LOZO full nu50,58.987650,4380,0.3928,0.80805
LOZO full nu50,59.122325,4390,0.4263,0.80805
LOZO full nu50,59.257000,4400,0.4109,0.80805
LOZO full nu50,59.391675,4410,0.451,0.80805
LOZO full nu50,59.526350,4420,0.4064,0.80805
