series,step,probe_loss
LOZO lora_only nu50,90,0.7541
LOZO lora_only nu50,100,0.8092
LOZO lora_only nu50,110,0.9001
LOZO lora_only nu50,120,1.0028
LOZO lora_only nu50,130,0.7937
LOZO lora_only nu50,140,0.8125
LOZO lora_only nu50,150,0.8178
LOZO lora_only nu50,160,0.6675
LOZO lora_only nu50,170,0.9047
LOZO lora_only nu50,180,0.8562
LOZO lora_only nu50,190,0.8913
LOZO lora_only nu50,200,0.9239
LOZO lora_only nu50,210,0.8057
LOZO lora_only nu50,220,0.7344
LOZO lora_only nu50,230,0.8965
LOZO lora_only nu50,240,0.8915
LOZO lora_only nu50,250,0.871
LOZO lora_only nu50,260,0.8916
LOZO lora_only nu50,270,0.8981
LOZO lora_only nu50,280,0.7742
LOZO lora_only nu50,290,0.8516
LOZO lora_only nu50,300,0.647
LOZO lora_only nu50,310,0.8472
LOZO lora_only nu50,320,0.6693
LOZO lora_only nu50,330,0.6577
LOZO lora_only nu50,340,0.7675
LOZO lora_only nu50,350,0.8564
LOZO lora_only nu50,360,0.845
LOZO lora_only nu50,370,0.775
LOZO lora_only nu50,380,0.7626
LOZO lora_only nu50,390,0.8033
LOZO lora_only nu50,400,0.6777
LOZO lora_only nu50,410,0.8502
LOZO lora_only nu50,420,0.7368
LOZO lora_only nu50,430,0.8653
LOZO lora_only nu50,440,0.7213
LOZO lora_only nu50,450,0.6658
LOZO lora_only nu50,460,0.8478
LOZO lora_only nu50,470,0.7598
LOZO lora_only nu50,480,0.7166
LOZO lora_only nu50,490,0.8273
LOZO lora_only nu50,500,0.7079
LOZO lora_only nu50,510,0.7065
LOZO lora_only nu50,520,0.7588
LOZO lora_only nu50,530,0.7817
LOZO lora_only nu50,540,0.6931
LOZO lora_only nu50,550,0.7325
LOZO lora_only nu50,560,0.7236
LOZO lora_only nu50,570,0.673
LOZO lora_only nu50,580,0.6329
LOZO lora_only nu50,590,0.6707
LOZO lora_only nu50,600,0.6521
LOZO lora_only nu50,610,0.7543
LOZO lora_only nu50,620,0.8019
LOZO lora_only nu50,630,0.7915
LOZO lora_only nu50,640,0.7134
LOZO lora_only nu50,650,0.7209
